DIRETORIA REGIONAL,MUNICÍPIO,CÓDIGO CENSO,UNIDADE ESCOLAR,MERENDA ESTADUAL/FEDERAL SALDO ANTERIOR,MANUTENÇÃO SALDO ANTERIOR,MERENDA ESTADUAL/FEDERAL RECEITA,MANUTENÇÃO RECEITA,MERENDA ESTADUAL/FEDERAL DESPESA,MANUTENÇÃO DESPESA,MERENDA ESTADUAL/FEDERAL SALDO ATUAL,MANUTENÇÃO SALDO ATUAL,LATITUDE,LONGITUDE
METROPOLITANA I,JAPERI,33052514,CE BARAO DO RIO BRANCO,"492,8","42,75","5575,6",1578,"5155,32","1522,7","913,08","98,05",-22.7110996246338,-42.6207008361816
METROPOLITANA I,JAPERI,33052530,CE ENGENHEIRO PEDREIRA,"10500,3","1865,51","21578,57","6155,37","27370,42","7802,98","4708,45","217,9",-22.6809005737305,-43.608699798584
METROPOLITANA I,JAPERI,33052441,CE JOAO SANTOS SOUTO,"12255,53","13368,42","18027,2",7116,"25653,88","10061,59","4628,85","10422,83",-22.6907005310059,-43.6212005615234
METROPOLITANA I,JAPERI,33101671,CIEP 206 PROFESSORA CYRENE MORAES COSTA,"2585,52","898,24","9606,4",5792,"10742,94","4936,5","1448,98","1753,74",0,0
METROPOLITANA I,JAPERI,33100080,CIEP 207 GILSON AMADO,"42179,99","188,8","51165,6",13088,"64651,36","12787,8","28694,23",489,-22.6748008728027,-43.6058006286621
METROPOLITANA I,JAPERI,33100209,CIEP 401 LUCIMAR DE SOUZA SANTOS,"261,64","1868,82","8307,6",5616,"4849,9",1219,"3719,34","6265,82",-22.6889991760254,-43.6125984191895
METROPOLITANA I,JAPERI,33100217,CIEP 402 APARICIO TORELLI,"364,96","54,65","21912,4",8744,"21912,4",8744,"364,96","54,65",-22.6903991699219,-43.6217002868652
METROPOLITANA I,NOVA IGUACU,33058709,CE ABDIAS NASCIMENTO (EX CE PRESIDENTE COSTA E SILVA),"13747,75","245,76","45483,42",13116,"50822,58","13293,72","8408,59","68,04",0,0
METROPOLITANA I,NOVA IGUACU,33059152,CE ALFREDO NEVES,"21997,36",0,"55217,85",10608,"25972,01",6693,"51243,2",3915,-2.72007989883423,-42.535099029541
METROPOLITANA I,NOVA IGUACU,33060797,CE AMBAI,"17255,16","3369,41","15422,4",5472,"14595,36","7402,5","18082,2","1438,91",-22.7033004760742,-43.4417991638184
METROPOLITANA I,NOVA IGUACU,33058571,CE ANTONIO DA SILVA,"7546,72","10983,09",31920,12600,31920,12600,"7546,72","10983,09",-22.7483005523682,-43.486499786377
METROPOLITANA I,NOVA IGUACU,33058580,CE ARRUDA NEGREIROS,"531,81","1,71","34796,4",12060,"26917,15","10058,71","8411,06",2003,0,0
METROPOLITANA I,NOVA IGUACU,33060800,CE BARAO DE TINGUA,"56641,66","20761,18",31824,"24399,2","30510,89","7415,59","57954,77","37744,79",-22.6979007720947,-43.423698425293
METROPOLITANA I,NOVA IGUACU,33059209,CE BERNARDINO MELO JUNIOR,"12677,68","4758,1",12292,6044,"15325,02","7585,16","9644,66","3216,94",-22.7546005249023,-43.4672012329102
METROPOLITANA I,NOVA IGUACU,33058601,CE CALIFORNIA,"5394,35","3046,01","19874,4",6552,"16373,48","3061,56","8895,27","6536,45",-22.7567005157471,-43.4398994445801
METROPOLITANA I,NOVA IGUACU,33059225,CE CAPITAO JOAQUIM QUARESMA DE OLIVEIRA,"25,16","568,37","7028,8",4584,"7028,8",4384,"25,16","768,37",-22.7490997314453,-43.4325981140137
METROPOLITANA I,NOVA IGUACU,33058946,CE COMENDADOR SOARES,"15614,82","2307,48","34834,8",11484,"44767,52","9253,76","5682,1","4537,72",-22.7483005523682,-43.486499786377
METROPOLITANA I,NOVA IGUACU,33142270,CE DOM ADRIANO HIPOLITO,"2465,52",1144,17328,6840,"19427,38",6853,"366,14",1131,-22.7609004974365,-43.4561996459961
METROPOLITANA I,NOVA IGUACU,33058610,CE DOM WALMOR,"27351,8","14591,02","25145,6",9708,"31180,4","5255,9",21317,"19043,12",-22.7182006835938,-43.4589004516602
METROPOLITANA I,NOVA IGUACU,33060819,CE DOS LIRIOS,"12,14","15,86","5097,6","1400,4","5099,47","1400,22","10,27","16,04",0,0
METROPOLITANA I,NOVA IGUACU,33059241,CE DOUTOR MARIO GUIMARAES,"18229,85","10379,94",22496,8880,"32357,51","7091,55","8368,34","12168,39",-22.7590007781982,-43.4785003662109
METROPOLITANA I,NOVA IGUACU,33058636,CE ENGENHEIRO AREA LEAO,"34753,77","7861,85","37057,6",14628,"59312,73","12343,69","12498,64","10146,16",-22.7367000579834,-43.4576988220215
METROPOLITANA I,NOVA IGUACU,33060827,CE FIGUEIRA,"44701,96","558,09","37856,1",12402,"38194,3",11221,"44363,76","1739,09",-22.691499710083,-43.4337997436523
METROPOLITANA I,NOVA IGUACU,33058652,CE FRANCISCO ASSUMPCAO,"43179,19","5085,83","7737,2",5046,"23413,42",5161,"27502,97","4970,83",-22.726900100708,-43.4721984863281
METROPOLITANA I,NOVA IGUACU,33058679,CE JARDIM ALVORADA,"5636,37","353,54","8731,03",5538,"8170,25","3757,9","6197,15","2133,64",-22.7583999633789,-43.4860000610352
METROPOLITANA I,NOVA IGUACU,33060835,CE JARDIM MARILICE,"39460,95","4069,57","17745,86",6384,"20558,04","6530,7","36648,77","3922,87",0,0
METROPOLITANA I,NOVA IGUACU,33058687,CE JOSE BONIFACIO,"17406,35","2467,22","20073,07",7164,"21221,08","8641,66","16258,34","989,56",-22.3330001831055,-43.132999420166
METROPOLITANA I,NOVA IGUACU,33059284,CE LEOPOLDO MACHADO,"2159,92","8199,71",14620,6420,12861,"9941,44","3918,92","4678,27",-22.7665004730225,-43.4388999938965
METROPOLITANA I,NOVA IGUACU,33060738,CE MARECHAL JUAREZ TAVORA,"2772,11","3037,54","30158,8",10704,"31032,82","12930,6","1898,09","810,94",-22.6741008758545,-43.4481010437012
METROPOLITANA I,NOVA IGUACU,33060843,CE MARIA EMILIA AMARAL FONTOURA,"30500,85","1474,61","28118,91",9852,"44717,91","9868,3","13901,85","1458,31",-22.6909008026123,-43.4635009765625
METROPOLITANA I,NOVA IGUACU,33059322,CE MARIA JUSTINIANO FERNANDES,"9041,75","8415,82",8082,8261,"10942,17",8225,"6181,58","8451,82",-22.7271003723145,-43.464900970459
METROPOLITANA I,NOVA IGUACU,33058695,CE MILTON CAMPOS,"7139,32","4550,55","29424,77",9216,"32239,8","9428,28","4324,29","4338,27",-22.7462997436523,-43.4516983032227
METROPOLITANA I,NOVA IGUACU,33059373,CE NATIVIDADE PATRICIO ANTUNES,"6059,72","4257,05","12084,8",5140,"10032,97",3037,"8111,55","6360,05",-22.7390003204346,-43.4772987365723
METROPOLITANA I,NOVA IGUACU,33059381,CE PROFESSOR AMAZOR VIEIRA BORGES,"7707,46",0,17340,6660,"17972,69",6190,"7074,77",470,-22.7168998718262,-43.5289993286133
METROPOLITANA I,NOVA IGUACU,33058733,CE PROFESSORA EVANGELINA SOARES DE MOURA,52,"3,77","20428,8",8064,"20431,53","7913,62","49,27","154,15",-22.7506999969482,-43.5065994262695
METROPOLITANA I,NOVA IGUACU,33117764,CE PROFESSORA MARIA HELENA AMARAL ALARCAO,"19227,63","5899,08","11447,88","4579,29","26640,33","7950,08","4035,18","2528,29",-22.710599899292,-43.4737014770508
METROPOLITANA I,NOVA IGUACU,33058741,CE PROFESSORA MARIA JOSE RAUNHEITTI DUCCINI,0,"45,6","17855,6",6468,"13554,04","6513,6","4301,56",0,-22.7444000244141,-43.442798614502
METROPOLITANA I,NOVA IGUACU,33060878,CE PROFESSORA MARINA BENTO,"1507,66","0,6","7500,1",5800,90,5600,"8917,76","200,6",0,0
METROPOLITANA I,NOVA IGUACU,33059403,CE PROFESSORA VENINA CORREA TORRES,"1055,48","289,7","10645,14",4200,"10844,87","4489,7","855,75",0,-22.7518005371094,-43.469799041748
METROPOLITANA I,NOVA IGUACU,33060746,CE SANTA RITA DE CASSIA,"37169,84","14356,23","18665,6",7368,"23945,87",7523,"31889,57","14201,23",-22.6893997192383,-43.469898223877
METROPOLITANA I,NOVA IGUACU,33059454,CE SANTO ANTONIO DE PADUA,"81065,15","13234,47","29139,2",5268,"31187,71","8093,25","79016,64","10409,22",-22.7661991119385,-43.5071983337402
METROPOLITANA I,NOVA IGUACU,33061769,CE SAO FRANCISCO DE PAULA,"10670,4","356,3","21340,8",8424,"26035,86","4256,06","5975,34","4524,24",-21.4727001190186,-41.1110000610352
METROPOLITANA I,NOVA IGUACU,33059446,CE SAO JORGE,"3941,75","692,11","24692,8",12144,"26949,9","11531,73","1684,65","1304,38",-22.739200592041,-43.4384994506836
METROPOLITANA I,NOVA IGUACU,33058750,CE SAO JUDAS TADEU,"48270,84","6446,41","25961,2",11136,"55233,15","10733,09","18998,89","6849,32",-22.738899230957,-43.5136985778809
METROPOLITANA I,NOVA IGUACU,33058768,CE SARGENTO ANTONIO ERNESTO,"1776,07","1812,07",28576,11280,"28984,03","12499,8","1368,04","592,27",-22.7840995788574,-43.5424995422363
METROPOLITANA I,NOVA IGUACU,33059462,CE VEREADOR PERCY BATISTA CRISPIN,1748,"409,66","22677,2",7476,"20486,07","4885,66","3939,13",3000,-22.7467002868652,-43.4404983520508
METROPOLITANA I,NOVA IGUACU,33058776,CE VICENTINA GOULART,"5484,74","2,49","64799,6","25776,08","70150,63","25470,62","133,71","307,95",-22.7129993438721,-43.42919921875
METROPOLITANA I,NOVA IGUACU,33059470,CE YONNE MARIA SIQUEIRA DE ANDRADE,"2825,25","940,64","15369,6",5688,"14976,13","6623,52","3218,72","5,12",-22.8519992828369,-43.6002998352051
METROPOLITANA I,NOVA IGUACU,33060720,CIEP 021 GENERAL OSORIO,"51476,66","9477,22","22739,2",10976,"30179,07","9913,15","44036,79","10540,07",-22.7124004364014,-43.4639015197754
METROPOLITANA I,NOVA IGUACU,33058393,CIEP 025 GETULIO SALES RODRIGUES,"3071,1","15431,04","11520,4",12434,"8932,18","9843,16","5659,32","18021,88",-22.7339000701904,-43.4375
METROPOLITANA I,NOVA IGUACU,33058466,CIEP 026 SAO VICENTE DE PAULA,"6474,31","2562,48",22312,9704,"18432,61","10075,25","10353,7","2191,23",-22.7625999450684,-43.5088996887207
METROPOLITANA I,NOVA IGUACU,33058326,CIEP 075 JARDIM CABUCU,"16,08",0,"13330,8",9694,"13346,88",9694,0,0,-22.7810001373291,-43.5516014099121
METROPOLITANA I,NOVA IGUACU,33058440,CIEP 113 PROFESSOR WALDICK PEREIRA,"70,25","18,57","44481,16","16474,49","40853,44","16402,86","3697,97","90,2",-22.7479991912842,-43.4990005493164
METROPOLITANA I,NOVA IGUACU,33058377,CIEP 117 CARLOS DRUMMOND DE ANDRADE BRASIL ESTADOS UNIDOS,"3436,39","160,71","28239,6",10260,"29128,8","9520,7","2547,19","900,01",0,0
METROPOLITANA I,NOVA IGUACU,33058180,CIEP 119 AUSTIN,"15090,57","46636,96",16868,"37665,6",16868,"37665,6","15090,57","46636,96",-22.7154998779297,-43.5574989318848
METROPOLITANA I,NOVA IGUACU,33058474,CIEP 134 VEREADOR JOSE LOPES DE ARAUJO,"20167,56","8392,39",50366,20060,"55515,72","24518,5","15017,84","3933,89",-22.7345008850098,-43.4991989135742
METROPOLITANA I,NOVA IGUACU,33058334,CIEP 166 ABILIO AUGUSTO TAVORA,"5339,58","1208,11","28713,29",12020,"25044,74","12165,68","9008,13","1062,43",-22.7653999328613,-43.5227012634277
METROPOLITANA I,NOVA IGUACU,33058199,CIEP 167 JARDIM PARAISO,"636,63","13,73","29338,4",11672,"29906,06","11676,4","68,97","9,33",-22.8276996612549,-43.6076011657715
METROPOLITANA I,NOVA IGUACU,33100322,CIEP 168 HILDA SILVEIRA RODRIGUES,"61533,19","2868,06","44903,4",15272,"48808,02","16973,02","57628,57","1167,04",-22.7749996185303,-43.5362014770508
METROPOLITANA I,NOVA IGUACU,33097020,CIEP 172 NELSON RODRIGUES,"20490,21","10606,56",21068,7870,38000,7870,"3558,21","10606,56",-22.7385997772217,-43.4835014343262
METROPOLITANA I,NOVA IGUACU,33058350,CIEP 187 BENEDITO LARANJEIRAS,"242,45","56,95","4736,8",3812,"4736,8",3812,"242,45","56,95",-22.8339004516602,-43.6193008422852
METROPOLITANA I,NOVA IGUACU,33058415,CIEP 188 MARIANO FLOR CAVALCANTE,"881,05","267,58","6539,2",4676,"2548,75","2336,4","4871,5","2607,18",-22.8124008178711,-43.6143989562988
METROPOLITANA I,NOVA IGUACU,33058458,CIEP 196 SAO TEODORO,"3678,25","12258,9","82549,25","6647,6","16029,82","17836,39","70197,68","1070,11",-22.7283992767334,-43.4333992004395
METROPOLITANA I,NOVA IGUACU,33058202,CIEP 200 RECANTO DOS COLIBRIS,"9073,08","9491,27","6274,4",6092,"6274,4",6092,"9073,08","9491,27",-22.7178993225098,-43.4338989257812
METROPOLITANA I,NOVA IGUACU,33058210,CIEP 216 PREFEITO JUAREZ ANTUNES,"5644,73","4650,21","17881,6",8922,"19506,21","5286,68","4020,12","8285,53",-22.6984996795654,-43.4767990112305
METROPOLITANA I,NOVA IGUACU,33058342,CIEP 317 AURELIO BUARQUE DE HOLANDA,"13297,19","1030,31","29951,6",17742,"40313,91","16491,48","2934,88","2280,83",-22.7425994873047,-43.4272003173828
METROPOLITANA I,NOVA IGUACU,33097275,CIEP 333 CACILDA BECKER,"8089,55","1173,1","27192,88","11603,91","28559,82","12532,21","6722,61","244,8",-22.7021007537842,-43.4309997558594
METROPOLITANA I,NOVA IGUACU,33058245,CIEP 334 MOACIR JOSE PEREIRA GERK,"6422,02","7638,97","13707,6",12404,"14618,19","10331,34","5511,43","9711,63",-22.7099990844727,-43.4477996826172
METROPOLITANA I,NOVA IGUACU,33098123,CIEP 345 Y-JUCA PIRAMA,"6678,38","1368,27","8226,4",4712,"14697,66","4227,45","207,12","1852,82",-22.7401008605957,-43.4281005859375
METROPOLITANA I,NOVA IGUACU,33046549,CIEP 351 MINISTRO SALGADO FILHO,"7337,9","94,32","22703,6",9548,"27035,5","8807,29",3006,"835,03",-22.7005996704102,-43.4188003540039
METROPOLITANA I,NOVA IGUACU,33060711,CIEP 352 SENADOR SEVERO GOMES,200,"4,37","31572,8",14504,"30869,57",14500,"903,23","8,37",-22.6903991699219,-43.4630012512207
METROPOLITANA I,NOVA IGUACU,33060193,CIEP 354 MARTINS PENA,"130938,6","3837,3","38369,12","14166,73","8784,58","14395,75","160523,14","3608,28",-22.7964000701904,-43.5765991210938
METROPOLITANA I,NOVA IGUACU,33058261,CIEP 356 AUGUSTO RUSCHI,"19333,73","8718,96",5732,"10438,4","12094,54","6901,12","12971,19","12256,24",-22.8237991333008,-43.5940017700195
METROPOLITANA I,NOVA IGUACU,33060177,CIEP 358 ALBERTO PASQUALINI,"38753,96","1670,74","29471,2",14576,"44053,69","8929,08","24171,47","7317,66",-22.7525005340576,-43.4743995666504
METROPOLITANA I,NOVA IGUACU,33058270,CIEP 359 CHARLES PERRAULT,"7083,98",0,"25108,75",10772,"26689,6",10772,"5503,13",0,-22.8250007629395,-43.5999984741211
METROPOLITANA I,NOVA IGUACU,33100330,CIEP 360 PROFESSORA IARA SIMAO VIEIRA,"11293,66","1094,84","14050,4",6632,"17856,34",7423,"7487,72","303,84",-22.8034000396729,-43.586498260498
METROPOLITANA I,NOVA IGUACU,33058288,CIEP 365 ASA BRANCA,"269,42","2253,04","17470,8",8264,"16685,21","9999,04","1055,01",518,-22.7096996307373,-43.4551010131836
METROPOLITANA I,NOVA IGUACU,33060185,CIEP 383 MAXIMO GORKI,"9589,15","4184,9","11063,2",6356,"15781,59",7933,"4870,76","2607,9",-22.8075008392334,-43.5877990722656
METROPOLITANA I,NOVA IGUACU,33058296,CIEP 387 HANS CRISTIAN ANDERSEN,1876,"210,34","8911,78","7503,2","8911,78","7503,2",1876,"210,34",0,0
METROPOLITANA I,NOVA IGUACU,33058300,CIEP 390 CHAO DE ESTRELAS,"76207,53","1119,31","30763,2","28790,4",13376,"13088,23","93594,73","16821,48",-22.7255992889404,-43.4516983032227
METROPOLITANA I,NOVA IGUACU,33058318,CIEP 394 CANDIDO AUGUSTO RIBEIRO NETO,"5779,49","3218,29","44995,2",15416,"46016,44",17504,"4758,25","1130,29",-22.7548999786377,-43.5013999938965
METROPOLITANA I,NOVA IGUACU,33058407,CIEP 395 LUIZ HENRIQUE REZENDE NOVAES,"18996,39","5873,37","12276,8",5624,"11699,19","6701,13",19574,"4796,24",-22.8558006286621,-43.6189994812012
METROPOLITANA I,NOVA IGUACU,33058237,CIEP BRIZOLAO 324 MAHATMA GANDHI,"7668,46","2432,2","22381,57",8048,"24327,47",9793,"5722,56","687,2",-22.7865009307861,-43.5730018615723
METROPOLITANA I,NOVA IGUACU,33061890,EE HUMBERTO DE CAMPOS,"6133,43","3112,8","13139,6",5208,"13799,37",5208,"5473,66","3112,8",-19.1728000640869,-41.8652000427246
METROPOLITANA I,NOVA IGUACU,33059411,EE JOAO DO VALE,"4595,23","34,32","3359,2",2652,6470,"2415,45","1484,43","270,87",-22.7483516084928,-43.5054854374033
METROPOLITANA I,NOVA IGUACU,33059306,EE MACHADO DE ASSIS,"18710,42","3407,94","10396,8",4104,"15723,98",3646,"13383,24","3865,94",-14.7318000793457,-44.418399810791
METROPOLITANA I,NOVA IGUACU,33059330,EE MESTRE HIRAM,"2085,98","1722,04","6475,2",2556,"7574,42","2812,37","986,76","1465,67",-22.7567005157471,-43.4490013122559
METROPOLITANA I,NOVA IGUACU,33059357,EE MONSENHOR JOAO MUSH,"3678,14","2366,18",22496,8880,"26174,14","7091,55",0,"4154,63",-22.75950050354,-43.4589996337891
METROPOLITANA I,NOVA IGUACU,33060860,EE NILO PECANHA,"5364,75","0,46","11247,6",3708,"9436,41","3702,52","7175,94","5,94",-22.2823009490967,-44.8656005859375
METROPOLITANA I,NOVA IGUACU,33060274,IE RANGEL PESTANA,"16653,57","2996,16","47138,4",23912,"47138,4",23912,"16653,57","2996,16",-22.7595996856689,-43.4469985961914
METROPOLITANA I,QUEIMADOS,33061874,CE DOM BOSCO,"1160,16","2397,76","27008,28",8904,"22051,01","11249,97","6117,43","51,79",-22.8080997467041,-43.6353988647461
METROPOLITANA I,QUEIMADOS,33061866,CE DOM JOAO VI,"5895,65","6461,45","33635,75",11064,"15019,78","13979,14","24511,62","3546,31",-22.7143001556396,-43.5640983581543
METROPOLITANA I,QUEIMADOS,33061912,CE JOSE DE ANCHIETA,"1195,99",0,"18166,26",3792,"19255,63",3792,"106,62",0,-2.47851991653442,-45.0903015136719
METROPOLITANA I,QUEIMADOS,33061742,CE PREFEITO LUIZ GUIMARAES,"62305,8",4947,"84270,79",26784,"86767,91","21267,64","59808,68","10463,36",-22.707799911499,-43.5556983947754
METROPOLITANA I,QUEIMADOS,33061920,CE RAYMUNDO CORREA,"16105,98","4458,47","25570,91",20275,"37313,64","23759,52","4363,25","973,95",-22.7070007324219,-43.5377998352051
METROPOLITANA I,QUEIMADOS,33061750,CE SAO CRISTOVAO,"2786,99","2406,77","44662,8",14724,"37734,64","5607,77","9715,15",11523,-2.57715010643005,-44.2406997680664
METROPOLITANA I,QUEIMADOS,33061939,CE SAO JOAO,"42303,5","13982,55",30012,10860,"43212,13","14687,55","29103,37",10155,-22.8129005432129,-43.3889999389648
METROPOLITANA I,QUEIMADOS,33099901,CIEP 335 PROFESSOR JOAQUIM DE FREITAS,292,"261,26",17756,13580,17756,13580,292,"261,26",-22.7266006469727,-43.5688018798828
METROPOLITANA I,QUEIMADOS,33096740,CIEP 341 SEBASTIAO PEREIRA PORTES,"116024,5","4818,14",18873,5860,"21220,65",4846,"113676,85","5832,14",-22.7245998382568,-43.5564002990723
METROPOLITANA I,QUEIMADOS,33097607,CIEP 344 ADONIRAN BARBOSA,"818,72","6126,76","8359,2",4916,"9168,45","9278,3","9,47","1764,46",-22.6907005310059,-43.5908012390137
METROPOLITANA I,QUEIMADOS,33099898,CIEP 346 BELARMINO ALFREDO DOS SANTOS,"13590,59","742,38","40343,2",16160,"43114,22","15473,15","10819,57","1429,23",-22.7152996063232,-43.5671997070312
METROPOLITANA I,QUEIMADOS,33097062,CIEP 355 ROQUETE PINTO,"18961,41","4003,71","34122,4","16232,26","45833,94","19493,65","7249,87","742,32",-22.6982002258301,-43.5563011169434
METROPOLITANA I,QUEIMADOS,33097151,CIEP 396 LUIZ PEIXOTO,"861,55","11602,6",38766,14780,"33230,28","13626,29","6397,27","12756,31",-22.7035007476807,-43.5690994262695
METROPOLITANA II,SAO GONCALO,33090815,CE ALECRIM,"63,09",6380,12558,11640,"8912,91","11910,02","3708,18","6109,98",-22.8171997070312,-42.9315986633301
METROPOLITANA II,SAO GONCALO,33090270,CE AMANDA VELASCO,"96929,96","8429,42",27118,8940,"29278,71","7832,12","94769,25","9537,3",-22.8589000701904,-42.9449996948242
METROPOLITANA II,SAO GONCALO,33089043,CE ARMANDO GONCALVES,"4236,12","2995,27","22237,66","10480,07","20569,23","8762,15","5904,55","4713,19",-22.781400680542,-43.0237998962402
METROPOLITANA II,SAO GONCALO,33090300,CE AUGUSTO CEZARIO DIAZ ANDRE,"167833,46","13919,14","39536,41",14400,"55996,02","12891,43","151373,85","15427,71",-22.8253002166748,-42.9716987609863
METROPOLITANA II,SAO GONCALO,33091340,CE CAPITAO OSWALDO ORNELLAS,"15436,24",0,"31049,2","12663,6","27659,53","10298,36","18825,91","2365,24",-22.8239994049072,-43.0735015869141
METROPOLITANA II,SAO GONCALO,33507210,CE COMENDADOR VALENTIM DOS SANTOS DINIZ,38410,"3097,99",52440,11400,"49047,73","11795,2","41802,27","2702,79",-22.8432006835938,-43.0181007385254
METROPOLITANA II,SAO GONCALO,33091382,CE CORONEL FRANCISCO LIMA,"13100,58","2279,65",16926,5580,"16581,24","4270,25","13445,34","3589,4",-22.8259172902422,-43.0919404169131
METROPOLITANA II,SAO GONCALO,33091390,CE CORONEL JOAO TARCISIO BUENO,"11082,19","7720,6",21432,8460,"16659,83","7639,69","15854,36","8540,91",0,0
METROPOLITANA II,SAO GONCALO,33090823,CE CORONEL SERRADO,"29031,3","3873,76","18483,2",7296,"18208,94","11169,76","29305,56",0,-22.8164005279541,-42.939998626709
METROPOLITANA II,SAO GONCALO,33090327,CE DESEMBARGADOR ALVARO FERREIRA PINTO,"36727,42","2670,92",12312,4860,11209,"4380,43","37830,42","3150,49",-21.8190994262695,-41.2979011535645
METROPOLITANA II,SAO GONCALO,33090831,CE DOM ANTONIO DE ALMEIDA MORAES JUNIOR,"15635,79","12648,24",12360,9476,"10987,57",12772,"17008,22","9352,24",-22.8018981715061,-42.98207593592
METROPOLITANA II,SAO GONCALO,33090246,CE DORVAL FERREIRA DA CUNHA,"62113,88","13163,93",30081,7146,"23924,5","5729,1","68270,38","14580,83",-22.8892993927002,-42.9894981384277
METROPOLITANA II,SAO GONCALO,33089051,CE DOUTOR ADINO XAVIER,"10369,02","6412,65","70652,4",24448,"62150,68",29381,"18870,74","1479,65",-22.817699432373,-43.0173988342285
METROPOLITANA II,SAO GONCALO,33090840,CE DOUTOR ARMANDO SA COUTO,"2326,47","7136,07","10519,6",11097,"9201,89",8641,"3644,18","9592,07",-22.8255004882812,-42.9169006347656
METROPOLITANA II,SAO GONCALO,33090343,CE DOUTOR HUMBERTO SOEIRO DE CARVALHO,"16190,05","9340,78","9788,8",5796,"8132,71","2856,61","17846,14","12280,17",0,0
METROPOLITANA II,SAO GONCALO,33090351,CE DOUTOR RODOLPHO SIQUEIRA,"25854,71","6742,65",18240,7200,"22118,38","10628,3","21976,33","3314,35",-22.843599319458,-43.0155982971191
METROPOLITANA II,SAO GONCALO,33090378,CE ELIZA MARIA DUTRA,"46581,12","5443,3",20520,8100,"25468,82",1038,"41632,3","12505,3",-22.8313999176025,-42.9608001708984
METROPOLITANA II,SAO GONCALO,33089388,CE FREDERICO AZEVEDO,"26685,44","13998,43","46080,06",16776,"58020,28","16300,83","14745,22","14473,6",-22.7957000732422,-43.0279998779297
METROPOLITANA II,SAO GONCALO,33089060,CE ISMAEL BRANCO,"70710,04","20832,36","27773,2",9156,"36464,52","6991,3","62018,72","22997,06",-22.8118991851807,-43.0411987304688
METROPOLITANA II,SAO GONCALO,33089396,CE LAURO CORREA,"15256,73",757,"24424,4",8052,"28282,72",8230,"11398,41",579,-22.8034992218018,-43.0122985839844
METROPOLITANA II,SAO GONCALO,33114366,CE MARIO TAMBORINDEGUY,"7752,35","1524,74","13626,27",4464,"16423,93","3222,18","4954,69","2766,56",-22.8595008850098,-43.0298004150391
METROPOLITANA II,SAO GONCALO,33090882,CE MAUA,"3449,74","14,96","10847,2",3576,"12153,58",925,"2143,36","2665,96",-22.7070007324219,-43.1475982666016
METROPOLITANA II,SAO GONCALO,33091447,CE MELCHIADES PICANCO,"6400,12","641,96","23962,39",9420,"24662,79","9492,59","5699,72","569,37",-22.8553009033203,-43.0968017578125
METROPOLITANA II,SAO GONCALO,33089086,CE MINISTRO JOSE DE MOURA E SILVA,"121837,87","15296,52","22982,4",9072,"43311,66","9828,15","101508,61","14540,37",-22.8302993774414,-43.0404014587402
METROPOLITANA II,SAO GONCALO,33089426,CE MONSENHOR BARENCO COELHO,"8112,8","2997,71",20064,7920,"25234,72","7796,31","2942,08","3121,4",-22.8024005889893,-43.0488014221191
METROPOLITANA II,SAO GONCALO,33089094,CE NILO PECANHA,"65294,74","66841,44","34078,4",13452,"27583,34","10132,01","71789,8","70161,43",-21.7593994140625,-41.3245010375977
METROPOLITANA II,SAO GONCALO,33089124,CE PADRE MANUEL DA NOBREGA,"56309,83","4427,92","23123,6",8808,"16723,38",8807,"62710,05","4428,92",-22.8215007781982,-43.0588989257812
METROPOLITANA II,SAO GONCALO,33089108,CE PANDIA CALOGERAS,"186389,76","16791,97",83774,30588,"49937,27","24941,14","220226,49","22438,83",-22.823299407959,-43.002498626709
METROPOLITANA II,SAO GONCALO,33091765,CE PAULINO PINHEIRO BAPTISTA,"27923,92","11936,35","24046,4",9492,"31950,84","11442,54","20019,48","9985,81",-22.8453998565674,-43.0741004943848
METROPOLITANA II,SAO GONCALO,33090440,CE PROFESSOR FRANCISCO DE PAULA ACHILLES,"5703,95","717,62","4742,4",2000,"6505,54",520,"3940,81","2197,62",0,0
METROPOLITANA II,SAO GONCALO,33090424,CE PROFESSORA ADELIA MARTINS,"3576,16","5551,59","15899,2",6276,"18712,98","6598,4","762,38","5229,19",-22.8341007232666,-42.9966011047363
METROPOLITANA II,SAO GONCALO,33089469,CE PROFESSORA ANTONIETA PALMEIRA,"36643,93",0,"19881,6",7848,"19696,49","3767,94","36829,04","4080,06",-22.8290996551514,-43.0149002075195
METROPOLITANA II,SAO GONCALO,33090432,CE PROFESSORA DALILA DE OLIVEIRA COSTA,"73886,5","24099,04","29850,19",9060,"27822,45","11673,41","75914,24","21485,63",-22.8631992340088,-43.0094985961914
METROPOLITANA II,SAO GONCALO,33091900,CE PROFESSORA LUIZA HONORIA DO PRADO,"2414,83","2689,94","13345,6",5268,"11724,18",4849,"4036,25","3108,94",0,0
METROPOLITANA II,SAO GONCALO,33090459,CE PROFESSORA ODYSSEA SILVEIRA DE SIQUEIRA,"10687,2","3341,8","13923,2",5496,"12500,03","6659,2","12110,37","2178,6",-22.8512001037598,-42.9978981018066
METROPOLITANA II,SAO GONCALO,33091196,CE SANTOS DIAS,"93965,65","12119,32","73650,8",15180,"75504,43","8755,15","92112,02","18544,17",0,0
METROPOLITANA II,SAO GONCALO,33090726,CE TRASILBO FILGUEIRAS,"29750,79","4320,77",38728,14520,"27610,29","15714,78","40868,5","3125,99",-22.8027992248535,-43.0049018859863
